Date,Afternoon_HR,Evening_HR,Morning_HR,Night_HR
2021-07-12,69.5,67.06180308675638,79.03519470205798,103.73981036698149
2021-07-15,84.14285714285714,109.22262704619155,90.97606075477682,75.47322659458527
2021-08-15,98.95505479132301,93.0,96.14900164808819,68.12202558097196
2021-09-07,97.0,91.67203418378466,99.57014526866318,86.42276508531408
2021-09-19,66.09584809616284,85.0,91.706611120877,90.98301779238452
2021-10-02,94.91289554115096,84.0,67.73603888838772,101.75298821472549
2021-10-12,108.67468895230452,78.0,100.2551829467983,63.956924421730015
2021-10-13,70.33333333333333,101.16275951221685,101.77530297562608,81.67152318331733
2021-10-14,106.9751613071685,81.03000570971214,70.0,79.54790865600236
2021-10-30,105.35843914017204,68.7999153653671,85.5,60.87483630217953
2022-04-20,76.41782602479049,98.0,71.5435970121481,61.344959466024065
2022-05-01,73.0,69.89436964808097,101.06517359482862,97.99346742139579
2022-05-04,88.0,79.74941377989353,107.1643094072231,104.50403305563435
2022-05-13,75.0,86.0,80.01880394485597,68.33459332494692
2022-05-19,79.25,70.15993640007353,106.49497732733786,85.3464716683968
2022-07-08,79.28435429957504,99.0,93.43900394342998,75.64172696548091
2022-07-18,94.25,99.94253377656167,80.48235333664684,90.2793145873985
2022-07-19,102.0,109.73497938843953,76.1526427311846,90.67574311691506
2022-08-29,96.8,66.91839426129025,87.7272695024841,90.24810306013046
2022-09-02,96.5,69.12173441064883,73.65425781653525,107.28448149242554
2022-09-06,79.0,91.85699549080229,105.35869396278949,109.91460743500228
2022-09-11,73.0,92.63204046909522,75.53429426148668,89.94199291964598
2022-09-18,77.0,66.47464222823089,109.93184686862021,80.20379467718082
2022-09-30,86.0,72.60150423766746,87.7022361773893,74.6124463760509
2022-10-04,103.02001858361078,75.0,78.42449872994501,79.67007611956228
2022-10-06,82.0,94.57841426144395,85.80801999078665,73.8314584701772
2022-10-07,87.5,95.51745306370182,68.12142530068762,60.253567241167794
2022-10-09,88.0,61.17817950358462,98.86457417636065,91.28260275753836
2022-10-18,71.0,65.50835288416509,80.74212930582681,109.74229840712367
2022-10-19,100.0,84.35407588894977,67.56669967529402,64.72012382749843
2022-10-22,80.02567653212331,83.0,64.41765446885742,78.71009167499952
2022-10-30,82.37273575842461,90.33333333333333,75.72693967098766,97.96372699564637
2022-10-31,94.0,82.75881001352421,85.47765938436368,82.07978549388716
2022-11-02,88.5,80.27444088624674,71.36001664182531,80.19379440396246
2022-11-07,82.5,93.33755933306713,94.83068133556986,95.72209659528986
2022-11-08,84.5,99.14276075077512,85.87216737453662,88.88842153347608
2022-11-13,67.2485210977917,86.8,76.6878693144556,82.2
2022-11-14,65.06527160708801,103.0,107.57922424783783,82.35756930903955
2022-11-15,90.05882352941177,78.31821574193015,99.42382072675275,76.40227366174142
2022-11-17,74.0,86.79387843266959,100.21296121089091,93.91656155376612
2022-11-18,90.0,87.0,75.84026849337613,80.74697603176514
2022-11-19,71.0,92.0,66.53691039471207,77.18031872177144
2022-11-22,90.33333333333333,79.09048644040396,100.23375326829283,84.10775346617717
2022-11-25,84.63157894736842,80.5487376034648,90.60097103772924,99.9010769526333
2022-11-26,70.46223783779666,82.92307692307692,105.07065467918738,94.14262338016222
2022-11-27,76.0,109.34939312224945,80.11945413532794,106.87888019340177
2022-11-29,80.05678310497699,77.5,83.71605653604,104.12377621528626
2022-12-01,86.0,71.19148380333135,87.32241515441184,85.8263024431401
2022-12-05,75.5,109.03580422052138,62.90763986566668,68.20021467152324
2022-12-07,91.9373288564589,90.0,88.86547174766818,76.46201076193984
2022-12-09,76.0,92.68243798151292,77.76750318314333,69.0008645281231
2022-12-10,76.0,65.63217714987881,65.9654813579854,79.89313915571736
2022-12-11,90.5,96.87154199175367,105.18271526414313,82.18712045835292
2022-12-12,62.30992831316193,78.0,60.43638436640787,108.65619530811202
2022-12-15,70.08108108108108,81.18408523450793,102.50392465834844,86.60450286078965
2022-12-19,65.16569249721134,77.66666666666667,102.1991211955168,80.06928651260259
2022-12-23,100.43704112900234,101.33333333333333,71.83299797869368,107.06701253163996
2022-12-25,108.1775103714292,101.21214326177669,75.5,80.83586236846169
2022-12-27,65.24262810458616,79.83333333333333,70.73486762808534,91.45193667749639
2022-12-29,80.5,82.33333333333333,84.15018404994767,106.39022474507581
2023-01-03,84.0,85.0284105773543,86.24072410063435,99.5107883824779
2023-01-04,86.0,72.0,106.97764028475244,75.09601741625315
2023-01-05,103.61844071104852,79.66666666666667,89.7662753211459,97.54600277755095
2023-01-06,105.33773624339375,74.72727272727273,102.86249902029105,66.45457320155722
2023-01-09,68.79703372526424,102.0,99.35602304154895,107.27751499467101
2023-01-11,61.53952725089185,96.0,107.28816683921528,102.20336467175495
2023-01-12,106.68761457949103,83.66666666666667,71.03669327510922,62.155192856260356
2023-01-14,90.66666666666667,82.42898502103067,90.25999031578506,60.215854183827155
2023-01-15,66.57944150609742,85.66666666666667,68.15113653614885,84.00894033671828
2023-01-16,86.91610195388205,90.0,78.12012905608461,69.51788984471197
2023-01-20,84.84838175459338,97.0,65.24948708381999,92.16906139976079
2023-01-22,62.42992957007241,85.0,87.8412090364802,92.77446599773067
2023-01-24,96.66666666666667,90.13528508584326,107.31627112560531,64.65133732796451
2023-01-27,65.03107627948093,78.66666666666667,82.74821086936424,85.64948493779055
2023-01-30,94.0,88.62998550825324,60.92563880803816,89.06684771484802
2023-02-03,76.0,97.23431626354459,70.50373183021112,97.15072656196507
2023-02-04,96.0,73.51439411816757,71.00357495428433,70.0
